patient_id,Bpbo_perml,Bpbref_perml,Trpbo_perml,Trpbref_perml,kBtumorprolif,KBptumor,KTrptumor,BT_ratio_tumor_init,Btumor_perml_init,tumor_burden_factor,kBapop,kBkill,fBkill,kBprolif,kTaexit,kTact,fTadeact,fTap,kTaapop,fTaprolif,fTrapop
1,250000.0,250000.0,500000.0,500000.0,0.04603900921445713,13149.648382953572,216.640070039692,30.34906788145042,3287412095.738393,1.0115114140733517,0.01522418124613853,359.0285407059054,0.005330102238664084,0.011528490410108547,0.3149478140542705,5.958916276377357,0.03315653227560437,3.888572476543308,0.16500396867334516,1.4109378179578764,0.6117008659891485
6,250000.0,250000.0,500000.0,500000.0,0.10890655094269815,13521.16567153791,436.1326170565741,15.50120897032562,3380291417.8844776,1.0400896670413777,0.010083612150817363,323.86778617908294,0.02550608055065526,0.012886898437738159,0.25633539012837875,6.214479937434029,0.0017826996035426484,5.272681564233148,0.08418157914692302,0.8063747344793297,0.21086286588748426
7,250000.0,250000.0,500000.0,500000.0,0.14015937619446983,12801.11149214808,970.925484248804,6.592221390734316,3200277873.03702,0.9847008840113908,0.03950635734554513,310.1239833470572,0.008200006131818918,0.03837789602183451,0.10602490394671597,9.2727975013366,0.006212775601385588,7.982624124001182,0.08215206573000285,5.055047164194391,0.42362324045038663
11,250000.0,250000.0,500000.0,500000.0,0.11085948320911221,12756.02461359575,503.87147662168655,12.65801420147974,3189006153.398937,0.9812326625842884,0.011742220984047468,421.0703573451737,0.01503278402969913,0.011390426171111393,0.3687257456608403,8.042491093278391,0.006173106398449839,4.747028780513674,0.12639465835261549,3.992655312831925,0.2891579130762146
12,250000.0,250000.0,500000.0,500000.0,0.14636288361960267,12045.123620159384,89.7569082741332,67.09858801826977,3011280905.039846,0.9265479707814911,0.012370848028312018,292.69259967209587,0.0545747364128506,0.03477224530131669,0.18920485203443113,9.282039400811197,0.07524051946875501,9.741115615417362,0.09049511537681576,1.0256598574081939,0.6406692081084983
13,250000.0,250000.0,500000.0,500000.0,0.08964284512736202,13170.938314016035,401.8356007492512,16.38846619047426,3292734578.504009,1.0131491010781566,0.01710634025934904,435.0153406389551,0.37289566792450385,0.01111243114363182,0.21461771904949759,9.036497439490516,0.012800784062661877,1.6858716634321675,0.1640209090019973,0.9406062092442098,0.31222383455409064
15,250000.0,250000.0,500000.0,500000.0,0.06119940194679206,14225.305976305634,245.19811916688386,29.00777955524156,3556326494.0764084,1.094254305869664,0.010715631944417697,381.18239834144595,0.1332914915769968,0.011230485425896497,0.1714729985315326,6.911234401583209,0.026231951703818056,2.6800124080293677,0.05743382277735783,1.0858114006923825,0.4094610744650298
16,250000.0,250000.0,500000.0,500000.0,0.016067202980312483,12879.085527277352,676.1934602119456,9.52322544145912,3219771381.819338,0.9906988867136425,0.01839588689323627,459.82009533867677,0.2950148303324453,0.021350872059669426,0.10754545931349388,6.227695989637524,0.00808912996171494,1.5267289057614706,0.035220588516125896,2.7001220152172074,0.10784992868409402
17,250000.0,250000.0,500000.0,500000.0,0.048797706492772354,13828.466911143894,115.1705176213509,60.034751934553704,3457116727.7859735,1.0637282239341457,0.023367612276693477,456.29652486107017,0.051228908289792804,0.017042519615736038,0.2010724132337802,6.303856815821157,0.0022295016678238297,2.7281205725828137,0.04302872906224668,1.695949759652441,0.08641722700849226
18,250000.0,250000.0,500000.0,500000.0,0.0572906768117987,11837.549012145426,772.0925037111344,7.665887801815938,2959387253.0363564,0.9105806932419559,0.0259179937983241,382.141500680616,0.06935241184023713,0.013193868998763767,0.22262938335111374,8.16128635149998,0.08422542009331424,4.28063686622574,0.10615157334588496,1.0850432346944732,0.09092818391341645
